,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs_stellar,yoffs_stellar,r_in_gap,delta_r_gap,lnprob
14538,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14540,23.9191133461,134.349084947,-7.20202442858,2.69236952975e-05,59.0087111811,43.0364372731,0.072960582719,0.0424731225929,74.3293352362,10.4773948266,-10733012.0312
14541,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14547,25.7709455654,138.905331603,-7.19409621664,2.55860935493e-05,60.9380764414,46.9456711399,0.189585832975,0.0118163005507,86.4711365212,5.12269365123,-10733011.875
14562,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14564,23.9191133461,134.349084947,-7.20202442858,2.69236952975e-05,59.0087111811,43.0364372731,0.072960582719,0.0424731225929,74.3293352362,10.4773948266,-10733012.0312
14565,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14586,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14588,23.7438342896,134.578767691,-7.20196784616,2.68607173341e-05,59.0574054753,43.0750868711,0.0732135068697,0.0412924414525,73.8840668557,10.4862582092,-10733011.6875
14589,32.1308222679,135.283126801,-7.17927752821,2.98219364097e-05,58.8418176634,48.3012255263,0.0219855926876,0.0461737425096,75.0859968488,13.548912106,-10733015.1875
14610,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14613,32.1308222679,135.283126801,-7.17927752821,2.98219364097e-05,58.8418176634,48.3012255263,0.0219855926876,0.0461737425096,75.0859968488,13.548912106,-10733015.1875
14634,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14637,32.1308222679,135.283126801,-7.17927752821,2.98219364097e-05,58.8418176634,48.3012255263,0.0219855926876,0.0461737425096,75.0859968488,13.548912106,-10733015.1875
14658,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14660,28.1122097689,126.594737888,-7.19537148025,3.00307626362e-05,57.9206225563,43.1667944522,-0.0247388249937,0.0600767827288,66.497177081,18.5518174075,-10733018.7188
14661,32.1308222679,135.283126801,-7.17927752821,2.98219364097e-05,58.8418176634,48.3012255263,0.0219855926876,0.0461737425096,75.0859968488,13.548912106,-10733015.1875
14665,16.7929879886,154.598735493,-7.16185601435,2.62619407595e-05,63.2631362092,49.3528761705,0.178008169211,0.00912752507465,73.1966820222,7.07981108181,-10733014.1562
14682,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
